time,pod,namespace,cpu_request,cpu_limit,cpu_usage,memory_request,memory_limit,memory_usage,receive_packets,transmit_packets,total_packets,receive_packets_dropped,transmit_packets_dropped,total_packets_dropped
1724524890000,upf1,free5gc,0.1,0.25,0.000004738778121370843,,,,,,,,,
1724524920000,upf1,free5gc,0.1,0.25,0.0000025394049511681687,,,,,,,,,
1724524950000,upf1,free5gc,0.1,0.25,0.00003957424669408126,,,,,,,,,
1724524980000,upf1,free5gc,0.1,0.25,0.00005990055496368418,,,,,,,,,
1724525010000,upf1,free5gc,0.1,0.25,0.000005098324160554056,,,,,,,,,
1724525040000,upf1,free5gc,0.1,0.25,0.00000317266989918878,,,,,,,,,
1724525070000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525100000,upf1,free5gc,0.1,0.25,0.00007407100624111146,,,,,,,,,
1724525130000,upf1,free5gc,0.1,0.25,0.0000034117220794766505,,,,,,,,,
1724525160000,upf1,free5gc,0.1,0.25,0.0000043829240181839515,,,,,,,,,
1724525190000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525220000,upf1,free5gc,0.1,0.25,0.00005270885239701984,,,,,,,,,
1724525250000,upf1,free5gc,0.1,0.25,0.0000030566743960930014,,,,,,,,,
1724525280000,upf1,free5gc,0.1,0.25,0.00000311514303661392,,,,,,,,,
1724525310000,upf1,free5gc,0.1,0.25,0.00003393871268930446,,,,,,,,,
1724525340000,upf1,free5gc,0.1,0.25,0.000028790779054511823,,,,,,,,,
1724525370000,upf1,free5gc,0.1,0.25,0.000003776705061470676,,,,,,,,,
1724525400000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525430000,upf1,free5gc,0.1,0.25,0.000051943769539972585,,,,,,,,,
1724525460000,upf1,free5gc,0.1,0.25,0.00006226522472361198,,,,,,,,,
1724525490000,upf1,free5gc,0.1,0.25,0.000004808383711844796,,,,,,,,,
1724525520000,upf1,free5gc,0.1,0.25,0.0000043935854381676215,,,,,,,,,
1724525550000,upf1,free5gc,0.1,0.25,0.00004281102797534111,,,,,,,,,
1724525580000,upf1,free5gc,0.1,0.25,0.0000424627926955958,,,,,,,,,
1724525610000,upf1,free5gc,0.1,0.25,0.000004594316780132942,,,,,,,,,
1724525640000,upf1,free5gc,0.1,0.25,0.0000036456150730112615,,,,,,,,,
1724525670000,upf1,free5gc,0.1,0.25,0.000054991221289793824,,,,,,,,,
1724525700000,upf1,free5gc,0.1,0.25,0.00003720239051268076,,,,,,,,,
1724525730000,upf1,free5gc,0.1,0.25,0.0000037329015126991895,,,,,,,,,
1724525760000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525790000,upf1,free5gc,0.1,0.25,0.00004683662669705868,,,,,,,,,
1724525820000,upf1,free5gc,0.1,0.25,0.000049161455407853205,,,,,,,,,
1724525850000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525880000,upf1,free5gc,0.1,0.25,0.000004152395657838997,,,,,,,,,
1724525910000,upf1,free5gc,0.1,0.25,0.00004815277866469347,,,,,,,,,
1724525940000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724525970000,upf1,free5gc,0.1,0.25,0.000004302155513361344,,,,,,,,,
1724526000000,upf1,free5gc,0.1,0.25,0.000003149662968609773,,,,,,,,,
1724526030000,upf1,free5gc,0.1,0.25,0.00005380181081731667,,,,,,,,,
1724526060000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724526090000,upf1,free5gc,0.1,0.25,0.0000031289371398045788,,,,,,,,,
1724526120000,upf1,free5gc,0.1,0.25,0.0000031884636059530807,,,,,,,,,
1724526150000,upf1,free5gc,0.1,0.25,0.00004245134562124574,,,,,,,,,
1724526180000,upf1,free5gc,0.1,0.25,0.00003419841753945629,,,,,,,,,
1724526210000,upf1,free5gc,0.1,0.25,0.0000032281877894410906,,,,,,,,,
1724526240000,upf1,free5gc,0.1,0.25,0.0000030734065884103894,,,,,,,,,
1724526270000,upf1,free5gc,0.1,0.25,0.00005055322246245291,,,,,,,,,
1724526300000,upf1,free5gc,0.1,0.25,0.00006522430278892119,,,,,,,,,
1724526330000,upf1,free5gc,0.1,0.25,0.0000035255477771037628,,,,,,,,,
1724526360000,upf1,free5gc,0.1,0.25,0.0000034001183717630184,,,,,,,,,
1724526390000,upf1,free5gc,0.1,0.25,0.0000011981627987621621,,,,,,,,,
1724526420000,upf1,free5gc,0.1,0.25,0.000048945610907129286,,,,,,,,,
1724526450000,upf1,free5gc,0.1,0.25,0.0000036096546344849144,,,,,,,,,
1724526480000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724526510000,upf1,free5gc,0.1,0.25,0.00003420698673645418,,,,,,,,,
1724526540000,upf1,free5gc,0.1,0.25,0.00002949950774191628,,,,,,,,,
1724526570000,upf1,free5gc,0.1,0.25,0.000003835085085004355,,,,,,,,,
1724526600000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724526630000,upf1,free5gc,0.1,0.25,0.00004554212340144346,,,,,,,,,
1724526660000,upf1,free5gc,0.1,0.25,0.000043347224692250656,,,,,,,,,
1724526690000,upf1,free5gc,0.1,0.25,0.000003301189590544879,,,,,,,,,
1724526720000,upf1,free5gc,0.1,0.25,0.0000032350113975815543,,,,,,,,,
1724526750000,upf1,free5gc,0.1,0.25,0.00005362731061025034,,,,,,,,,
1724526780000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724526810000,upf1,free5gc,0.1,0.25,0.000004618185542221515,,,,,,,,,
1724526840000,upf1,free5gc,0.1,0.25,0.000005378834270289827,,,,,,,,,
1724526870000,upf1,free5gc,0.1,0.25,0.00006508361688084938,,,,,,,,,
1724526900000,upf1,free5gc,0.1,0.25,0.000048660116945772305,,,,,,,,,
1724526930000,upf1,free5gc,0.1,0.25,0.0000032917056454485165,,,,,,,,,
1724526960000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724526990000,upf1,free5gc,0.1,0.25,0.00003997955835103503,,,,,,,,,
1724527020000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527050000,upf1,free5gc,0.1,0.25,0.000003158307498779851,,,,,,,,,
1724527080000,upf1,free5gc,0.1,0.25,0.0000027498634625424394,,,,,,,,,
1724527110000,upf1,free5gc,0.1,0.25,0.00005089008204384747,,,,,,,,,
1724527140000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527170000,upf1,free5gc,0.1,0.25,0.000004816992139161241,,,,,,,,,
1724527200000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527230000,upf1,free5gc,0.1,0.25,0.00005457004388877995,,,,,,,,,
1724527260000,upf1,free5gc,0.1,0.25,0.00004222686002939526,,,,,,,,,
1724527290000,upf1,free5gc,0.1,0.25,0.000001517417121429024,,,,,,,,,
1724527320000,upf1,free5gc,0.1,0.25,0.0000031937640403958797,,,,,,,,,
1724527350000,upf1,free5gc,0.1,0.25,0.00005477772505423227,,,,,,,,,
1724527380000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527410000,upf1,free5gc,0.1,0.25,0.0000035549010647499593,,,,,,,,,
1724527440000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527470000,upf1,free5gc,0.1,0.25,0.000045696314692912134,,,,,,,,,
1724527500000,upf1,free5gc,0.1,0.25,0.00004462200692046396,,,,,,,,,
1724527530000,upf1,free5gc,0.1,0.25,0.0000035245550992180703,,,,,,,,,
1724527560000,upf1,free5gc,0.1,0.25,0.0000031821868602727437,,,,,,,,,
1724527590000,upf1,free5gc,0.1,0.25,0.0000515352814849374,,,,,,,,,
1724527620000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724527650000,upf1,free5gc,0.1,0.25,0.0000032324397249258585,,,,,,,,,
1724527680000,upf1,free5gc,0.1,0.25,0.0000022490709087333985,,,,,,,,,
1724527710000,upf1,free5gc,0.1,0.25,0.000051792183609444924,,,,,,,,,
1724527740000,upf1,free5gc,0.1,0.25,0.00004816880491673374,,,,,,,,,
1724527770000,upf1,free5gc,0.1,0.25,0.0000054115267945943615,,,,,,,,,
1724527800000,upf1,free5gc,0.1,0.25,0.0000037250183943143123,,,,,,,,,
1724527830000,upf1,free5gc,0.1,0.25,0.00004248490671187485,,,,,,,,,
1724527860000,upf1,free5gc,0.1,0.25,0.00005404468396250109,,,,,,,,,
1724527890000,upf1,free5gc,0.1,0.25,0.000004266471449426308,,,,,,,,,
1724527920000,upf1,free5gc,0.1,0.25,0.000004331438086298176,,,,,,,,,
1724527950000,upf1,free5gc,0.1,0.25,0.000066624757229707,,,,,,,,,
1724527980000,upf1,free5gc,0.1,0.25,0.00007616793419197877,,,,,,,,,
1724528010000,upf1,free5gc,0.1,0.25,0.0000033232243319123884,,,,,,,,,
1724528040000,upf1,free5gc,0.1,0.25,0.0000030854927565668505,,,,,,,,,
1724528070000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724528100000,upf1,free5gc,0.1,0.25,0.00006521789995679013,,,,,,,,,
1724528130000,upf1,free5gc,0.1,0.25,0.0000031879097917556208,,,,,,,,,
1724528160000,upf1,free5gc,0.1,0.25,0.000003853590558705419,,,,,,,,,
1724528190000,upf1,free5gc,0.1,0.25,0.00006121533366580587,,,,,,,,,
1724528220000,upf1,free5gc,0.1,0.25,0.00007817633853402651,,,,,,,,,
1724528250000,upf1,free5gc,0.1,0.25,0.000005570879197317061,,,,,,,,,
1724528280000,upf1,free5gc,0.1,0.25,0.000003728152623843249,,,,,,,,,
1724528310000,upf1,free5gc,0.1,0.25,0.00003963370509665416,,,,,,,,,
1724528340000,upf1,free5gc,0.1,0.25,0.00004790594449367574,,,,,,,,,
1724528370000,upf1,free5gc,0.1,0.25,0.0000042805075223828774,,,,,,,,,
1724528400000,upf1,free5gc,0.1,0.25,0.000003083543903965445,,,,,,,,,
1724528430000,upf1,free5gc,0.1,0.25,0.0000014339053269418852,,,,,,,,,
1724528460000,upf1,free5gc,0.1,0.25,0.0000696028738628977,,,,,,,,,
1724528490000,upf1,free5gc,0.1,0.25,0.0000035570512821254556,,,,,,,,,
1724528520000,upf1,free5gc,0.1,0.25,0.0000032291666667340035,,,,,,,,,
1724528550000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724528580000,upf1,free5gc,0.1,0.25,0.00006569931313921334,,,,,,,,,
1724528610000,upf1,free5gc,0.1,0.25,0.000004016796857493718,,,,,,,,,
1724528640000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724528670000,upf1,free5gc,0.1,0.25,0.0000819878932144852,,,,,,,,,
1724528700000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724528730000,upf1,free5gc,0.1,0.25,0.0000030114061101472486,,,,,,,,,
1724528760000,upf1,free5gc,0.1,0.25,0.0000031631031813131056,,,,,,,,,
1724528790000,upf1,free5gc,0.1,0.25,0.000057852881700507324,,,,,,,,,
1724528820000,upf1,free5gc,0.1,0.25,0.00005801879999989268,,,,,,,,,
1724528850000,upf1,free5gc,0.1,0.25,0.0000036307646406808697,,,,,,,,,
1724528880000,upf1,free5gc,0.1,0.25,0.0000037856354006009816,,,,,,,,,
1724528910000,upf1,free5gc,0.1,0.25,0.000039483709273319806,,,,,,,,,
1724528940000,upf1,free5gc,0.1,0.25,0.000040276987509190656,,,,,,,,,
1724528970000,upf1,free5gc,0.1,0.25,0.000004803942323389417,,,,,,,,,
1724529000000,upf1,free5gc,0.1,0.25,0.000004008360974156627,,,,,,,,,
1724529030000,upf1,free5gc,0.1,0.25,0.000048597577592863656,,,,,,,,,
1724529060000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724529090000,upf1,free5gc,0.1,0.25,0.000003999775168139253,,,,,,,,,
1724529120000,upf1,free5gc,0.1,0.25,0.000005335586572776093,,,,,,,,,
1724529150000,upf1,free5gc,0.1,0.25,0.000072087058885062,,,,,,,,,
1724529180000,upf1,free5gc,0.1,0.25,0.00006760741986493849,,,,,,,,,
1724529210000,upf1,free5gc,0.1,0.25,0.000004669037656882643,,,,,,,,,
1724529240000,upf1,free5gc,0.1,0.25,0.000005527951848982991,,,,,,,,,
1724529270000,upf1,free5gc,0.1,0.25,0.00007783119133960491,,,,,,,,,
1724529300000,upf1,free5gc,0.1,0.25,0.000052442122850838874,,,,,,,,,
1724529330000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724529360000,upf1,free5gc,0.1,0.25,0.000003414220218449279,,,,,,,,,
1724529390000,upf1,free5gc,0.1,0.25,0.000060265740209820263,,,,,,,,,
1724529420000,upf1,free5gc,0.1,0.25,0.0000676717415437119,,,,,,,,,
1724529450000,upf1,free5gc,0.1,0.25,0.0000024312687283924007,,,,,,,,,
1724529480000,upf1,free5gc,0.1,0.25,0.0000023947312058242547,,,,,,,,,
1724529510000,upf1,free5gc,0.1,0.25,0.000045273987808585646,,,,,,,,,
1724529540000,upf1,free5gc,0.1,0.25,0.00006511419317284155,,,,,,,,,
1724529570000,upf1,free5gc,0.1,0.25,0.000004871226949710589,,,,,,,,,
1724529600000,upf1,free5gc,0.1,0.25,0.0000034772217524609833,,,,,,,,,
1724529630000,upf1,free5gc,0.1,0.25,0.00003656724331425878,,,,,,,,,
1724529660000,upf1,free5gc,0.1,0.25,0.00005062972390824456,,,,,,,,,
1724529690000,upf1,free5gc,0.1,0.25,0.000004432255721087406,,,,,,,,,
1724529720000,upf1,free5gc,0.1,0.25,0.0000036151217682021056,,,,,,,,,
1724529750000,upf1,free5gc,0.1,0.25,0.000058953852021353586,,,,,,,,,
1724529780000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724529810000,upf1,free5gc,0.1,0.25,0.000004583962194198028,,,,,,,,,
1724529840000,upf1,free5gc,0.1,0.25,0.000004501324133309889,,,,,,,,,
1724529870000,upf1,free5gc,0.1,0.25,0.00005803247375524502,,,,,,,,,
1724529900000,upf1,free5gc,0.1,0.25,0.00007701766100122325,,,,,,,,,
1724529930000,upf1,free5gc,0.1,0.25,0.000005149047150581094,,,,,,,,,
1724529960000,upf1,free5gc,0.1,0.25,0.000005792123694547725,,,,,,,,,
1724529990000,upf1,free5gc,0.1,0.25,0.00004850681482403378,,,,,,,,,
1724530020000,upf1,free5gc,0.1,0.25,0.00006048751970136827,,,,,,,,,
1724530050000,upf1,free5gc,0.1,0.25,0.000003492264662187872,,,,,,,,,
1724530080000,upf1,free5gc,0.1,0.25,0.000004341637010686093,,,,,,,,,
1724530110000,upf1,free5gc,0.1,0.25,0.00005588537983757127,,,,,,,,,
1724530140000,upf1,free5gc,0.1,0.25,0.00006820893955741708,,,,,,,,,
1724530170000,upf1,free5gc,0.1,0.25,0.000003898751977536442,,,,,,,,,
1724530200000,upf1,free5gc,0.1,0.25,0.0000045573408722723215,,,,,,,,,
1724530230000,upf1,free5gc,0.1,0.25,0.00004606685693896756,,,,,,,,,
1724530260000,upf1,free5gc,0.1,0.25,0.00003900598115029183,,,,,,,,,
1724530290000,upf1,free5gc,0.1,0.25,0.000004563185275722933,,,,,,,,,
1724530320000,upf1,free5gc,0.1,0.25,0.0000032138575637274664,,,,,,,,,
1724530350000,upf1,free5gc,0.1,0.25,0.0000619289282046677,,,,,,,,,
1724530380000,upf1,free5gc,0.1,0.25,0.00006991740797721572,,,,,,,,,
1724530410000,upf1,free5gc,0.1,0.25,0.000005068746419574887,,,,,,,,,
1724530440000,upf1,free5gc,0.1,0.25,0.0000050806535812412515,,,,,,,,,
1724530470000,upf1,free5gc,0.1,0.25,0.00005281694700709678,,,,,,,,,
1724530500000,upf1,free5gc,0.1,0.25,0.000053871920197889614,,,,,,,,,
1724530530000,upf1,free5gc,0.1,0.25,0.000004555385050298781,,,,,,,,,
1724530560000,upf1,free5gc,0.1,0.25,0.000004455437723425507,,,,,,,,,
1724530590000,upf1,free5gc,0.1,0.25,0.00004334419970626668,,,,,,,,,
1724530620000,upf1,free5gc,0.1,0.25,0.00004451509039149073,,,,,,,,,
1724530650000,upf1,free5gc,0.1,0.25,0.0000020252537757419293,,,,,,,,,
1724530680000,upf1,free5gc,0.1,0.25,0.000003373053840078881,,,,,,,,,
1724530710000,upf1,free5gc,0.1,0.25,0.000048512331652167384,,,,,,,,,
1724530740000,upf1,free5gc,0.1,0.25,0.00007456064839061589,,,,,,,,,
1724530770000,upf1,free5gc,0.1,0.25,0.000004025670024522491,,,,,,,,,
1724530800000,upf1,free5gc,0.1,0.25,0.000003527013727600363,,,,,,,,,
1724530830000,upf1,free5gc,0.1,0.25,0.00006471979645856986,,,,,,,,,
1724530860000,upf1,free5gc,0.1,0.25,0.00006068525056868541,,,,,,,,,
1724530890000,upf1,free5gc,0.1,0.25,0.00000453320108841596,,,,,,,,,
1724530920000,upf1,free5gc,0.1,0.25,0.0000032476997357675857,,,,,,,,,
1724530950000,upf1,free5gc,0.1,0.25,0.00005411822264993275,,,,,,,,,
1724530980000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531010000,upf1,free5gc,0.1,0.25,0.0000034941602588654724,,,,,,,,,
1724531040000,upf1,free5gc,0.1,0.25,0.0000022777862812450756,,,,,,,,,
1724531070000,upf1,free5gc,0.1,0.25,0.00007040518808724185,,,,,,,,,
1724531100000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531130000,upf1,free5gc,0.1,0.25,0.00000271742679877027,,,,,,,,,
1724531160000,upf1,free5gc,0.1,0.25,0.000002943407349220178,,,,,,,,,
1724531190000,upf1,free5gc,0.1,0.25,0.00005080680880335672,,,,,,,,,
1724531220000,upf1,free5gc,0.1,0.25,0.00005844522286664614,,,,,,,,,
1724531250000,upf1,free5gc,0.1,0.25,0.000004428317068214526,,,,,,,,,
1724531280000,upf1,free5gc,0.1,0.25,0.0000036763715290698735,,,,,,,,,
1724531310000,upf1,free5gc,0.1,0.25,0.00005400970566270793,,,,,,,,,
1724531340000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531370000,upf1,free5gc,0.1,0.25,0.000005683137204582079,,,,,,,,,
1724531400000,upf1,free5gc,0.1,0.25,0.000003317547964423047,,,,,,,,,
1724531430000,upf1,free5gc,0.1,0.25,0.00003951174850390768,,,,,,,,,
1724531460000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531490000,upf1,free5gc,0.1,0.25,0.0000039514374231898894,,,,,,,,,
1724531520000,upf1,free5gc,0.1,0.25,0.0000034575137856945796,,,,,,,,,
1724531550000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531580000,upf1,free5gc,0.1,0.25,0.000046434947809713225,,,,,,,,,
1724531610000,upf1,free5gc,0.1,0.25,0.000003323294821987274,,,,,,,,,
1724531640000,upf1,free5gc,0.1,0.25,0.00000256288180174592,,,,,,,,,
1724531670000,upf1,free5gc,0.1,0.25,0.00005751060005625806,,,,,,,,,
1724531700000,upf1,free5gc,0.1,0.25,0.00006532745107942724,,,,,,,,,
1724531730000,upf1,free5gc,0.1,0.25,0.000003286578922062238,,,,,,,,,
1724531760000,upf1,free5gc,0.1,0.25,0.0000033953986938231567,,,,,,,,,
1724531790000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724531820000,upf1,free5gc,0.1,0.25,0.00005847338432548598,,,,,,,,,
1724531850000,upf1,free5gc,0.1,0.25,0.000003319839640279279,,,,,,,,,
1724531880000,upf1,free5gc,0.1,0.25,0.0000023508017121461478,,,,,,,,,
1724531910000,upf1,free5gc,0.1,0.25,0.0000019538503138604784,,,,,,,,,
1724531940000,upf1,free5gc,0.1,0.25,0.00006530496734614128,,,,,,,,,
1724531970000,upf1,free5gc,0.1,0.25,0.000003479416425487802,,,,,,,,,
1724532000000,upf1,free5gc,0.1,0.25,0.000004210810472736593,,,,,,,,,
1724532030000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724532060000,upf1,free5gc,0.1,0.25,0.0000634546361843478,,,,,,,,,
1724532090000,upf1,free5gc,0.1,0.25,0.000003443766744503471,,,,,,,,,
1724532120000,upf1,free5gc,0.1,0.25,0.0000026542027125565494,,,,,,,,,
1724532150000,upf1,free5gc,0.1,0.25,0.00005061276214459302,,,,,,,,,
1724532180000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724532210000,upf1,free5gc,0.1,0.25,0.000003855293925574896,,,,,,,,,
1724532240000,upf1,free5gc,0.1,0.25,0.0000026233463843396882,,,,,,,,,
1724532270000,upf1,free5gc,0.1,0.25,0.00007544961911342554,,,,,,,,,
1724532300000,upf1,free5gc,0.1,0.25,0.00006193084010314476,,,,,,,,,
1724532330000,upf1,free5gc,0.1,0.25,0.000002726491761702063,,,,,,,,,
1724532360000,upf1,free5gc,0.1,0.25,0.0000035042508558318463,,,,,,,,,
1724532390000,upf1,free5gc,0.1,0.25,0.00005816819564418366,,,,,,,,,
1724532420000,upf1,free5gc,0.1,0.25,0.00007182568778882697,,,,,,,,,
1724532450000,upf1,free5gc,0.1,0.25,0.000004229338615548437,,,,,,,,,
1724532480000,upf1,free5gc,0.1,0.25,0.0000030352634827904718,,,,,,,,,
1724532510000,upf1,free5gc,0.1,0.25,0.00006381240106854627,,,,,,,,,
1724532540000,upf1,free5gc,0.1,0.25,0.00006601393795681554,,,,,,,,,
1724532570000,upf1,free5gc,0.1,0.25,0.000005131561549583583,,,,,,,,,
1724532600000,upf1,free5gc,0.1,0.25,0.00000383717941107558,,,,,,,,,
1724532630000,upf1,free5gc,0.1,0.25,0.000028821769931408726,,,,,,,,,
1724532660000,upf1,free5gc,0.1,0.25,0.00003688154999998972,,,,,,,,,
1724532690000,upf1,free5gc,0.1,0.25,0.000003918306524074959,,,,,,,,,
1724532720000,upf1,free5gc,0.1,0.25,0.0000039999583229429036,,,,,,,,,
1724532750000,upf1,free5gc,0.1,0.25,0.000049720545452489956,,,,,,,,,
1724532780000,upf1,free5gc,0.1,0.25,0.000057663170302899014,,,,,,,,,
1724532810000,upf1,free5gc,0.1,0.25,0.000003941082802548341,,,,,,,,,
1724532840000,upf1,free5gc,0.1,0.25,0.0000040129295112983125,,,,,,,,,
1724532870000,upf1,free5gc,0.1,0.25,0.000044377115760324726,,,,,,,,,
1724532900000,upf1,free5gc,0.1,0.25,0.00004904631567505216,,,,,,,,,
1724532930000,upf1,free5gc,0.1,0.25,0.0000031369882621807757,,,,,,,,,
1724532960000,upf1,free5gc,0.1,0.25,0.0000028926986335498276,,,,,,,,,
1724532990000,upf1,free5gc,0.1,0.25,0.00008315452961249081,,,,,,,,,
1724533020000,upf1,free5gc,0.1,0.25,0.00009870029816784328,,,,,,,,,
1724533050000,upf1,free5gc,0.1,0.25,0.000005549229640476177,,,,,,,,,
1724533080000,upf1,free5gc,0.1,0.25,0.000003452437465751792,,,,,,,,,
1724533110000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724533140000,upf1,free5gc,0.1,0.25,0.0000740123113377913,,,,,,,,,
1724533170000,upf1,free5gc,0.1,0.25,0.000004339218833658692,,,,,,,,,
1724533200000,upf1,free5gc,0.1,0.25,0.000004678811547314231,,,,,,,,,
1724533230000,upf1,free5gc,0.1,0.25,0.000048908551619739375,,,,,,,,,
1724533260000,upf1,free5gc,0.1,0.25,0.000038411001188684075,,,,,,,,,
1724533290000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724533320000,upf1,free5gc,0.1,0.25,0.0000040883201067054355,,,,,,,,,
1724533350000,upf1,free5gc,0.1,0.25,0.00005182138042300902,,,,,,,,,
1724533380000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724533410000,upf1,free5gc,0.1,0.25,0.0000032359906726508106,,,,,,,,,
1724533440000,upf1,free5gc,0.1,0.25,0.000003895821910366232,,,,,,,,,
1724533470000,upf1,free5gc,0.1,0.25,0.00007141836250353931,,,,,,,,,
1724533500000,upf1,free5gc,0.1,0.25,0.00004896005938206556,,,,,,,,,
1724533530000,upf1,free5gc,0.1,0.25,0.0000034964910347801993,,,,,,,,,
1724533560000,upf1,free5gc,0.1,0.25,0.000003510615535114379,,,,,,,,,
1724533590000,upf1,free5gc,0.1,0.25,0.00005084438512690211,,,,,,,,,
1724533620000,upf1,free5gc,0.1,0.25,0.000051203633755478805,,,,,,,,,
1724533650000,upf1,free5gc,0.1,0.25,0.000003846929743327582,,,,,,,,,
1724533680000,upf1,free5gc,0.1,0.25,0.00000478506514924115,,,,,,,,,
1724533710000,upf1,free5gc,0.1,0.25,0.00006560757349055181,,,,,,,,,
1724533740000,upf1,free5gc,0.1,0.25,0.00007295077406538269,,,,,,,,,
1724533770000,upf1,free5gc,0.1,0.25,0.000004275685492896837,,,,,,,,,
1724533800000,upf1,free5gc,0.1,0.25,0.000004089189645482843,,,,,,,,,
1724533830000,upf1,free5gc,0.1,0.25,0.00003430358673662501,,,,,,,,,
1724533860000,upf1,free5gc,0.1,0.25,0.00004954537800560607,,,,,,,,,
1724533890000,upf1,free5gc,0.1,0.25,0.000004531834191430907,,,,,,,,,
1724533920000,upf1,free5gc,0.1,0.25,0.0000031943091760854537,,,,,,,,,
1724533950000,upf1,free5gc,0.1,0.25,0.00005153133122904987,,,,,,,,,
1724533980000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724534010000,upf1,free5gc,0.1,0.25,0.0000033421386117997187,,,,,,,,,
1724534040000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724534070000,upf1,free5gc,0.1,0.25,0.00005059656492333911,,,,,,,,,
1724534100000,upf1,free5gc,0.1,0.25,0.000047342861129748104,,,,,,,,,
1724534130000,upf1,free5gc,0.1,0.25,0.000006053612988244801,,,,,,,,,
1724534160000,upf1,free5gc,0.1,0.25,0.0000046653613600379546,,,,,,,,,
1724534190000,upf1,free5gc,0.1,0.25,0.00004190039258828661,,,,,,,,,
1724534220000,upf1,free5gc,0.1,0.25,0.00004368760134472193,,,,,,,,,
1724534250000,upf1,free5gc,0.1,0.25,0.0000037378640191141147,,,,,,,,,
1724534280000,upf1,free5gc,0.1,0.25,0.0000036070500578487314,,,,,,,,,
1724534310000,upf1,free5gc,0.1,0.25,0.00006940950856904587,,,,,,,,,
1724534340000,upf1,free5gc,0.1,0.25,0.000058134852349844645,,,,,,,,,
1724534370000,upf1,free5gc,0.1,0.25,0.000003690961972591898,,,,,,,,,
1724534400000,upf1,free5gc,0.1,0.25,0.000002948730105195819,,,,,,,,,
1724534430000,upf1,free5gc,0.1,0.25,0.00005220956211880375,,,,,,,,,
1724534460000,upf1,free5gc,0.1,0.25,0.00006104326008231576,,,,,,,,,
1724534490000,upf1,free5gc,0.1,0.25,0.000003740484655475992,,,,,,,,,
1724534520000,upf1,free5gc,0.1,0.25,0.000003386052205497133,,,,,,,,,
1724534550000,upf1,free5gc,0.1,0.25,0.0000674174512757307,,,,,,,,,
1724534580000,upf1,free5gc,0.1,0.25,0.00007758758178117377,,,,,,,,,
1724534610000,upf1,free5gc,0.1,0.25,0.0000058696329255249525,,,,,,,,,
1724534640000,upf1,free5gc,0.1,0.25,0.000007204412648199078,,,,,,,,,
1724534670000,upf1,free5gc,0.1,0.25,0.00007071508019267455,,,,,,,,,
1724534700000,upf1,free5gc,0.1,0.25,0.00006757121844753619,,,,,,,,,
1724534730000,upf1,free5gc,0.1,0.25,0.0000045280295855720324,,,,,,,,,
1724534760000,upf1,free5gc,0.1,0.25,0.000004272158631585408,,,,,,,,,
1724534790000,upf1,free5gc,0.1,0.25,0,,,,,,,,,
1724534820000,upf1,free5gc,0.1,0.25,0.000055212069950821854,,,,,,,,,
1724534850000,upf1,free5gc,0.1,0.25,0.0000039952198687433256,,,,,,,,,
1724534880000,upf1,free5gc,0.1,0.25,0.000005205813323735577,,,,,,,,,
1724534910000,upf1,free5gc,0.1,0.25,0.00009671781633503359,,,,,,,,,
1724534940000,upf1,free5gc,0.1,0.25,0.00010323304625377217,,,,,,,,,
